provincias,lat,lng
Ciudad de México,19.4326009,-99.1333416
Estado de México,19.4839446,-99.6899716
Jalisco,20.3333331,-103.6666671
Querétaro,20.8542575,-99.84756
Nuevo León,26.2384363,-99.8873
Puebla,18.833333,-98.0
San Luis Potosí,22.5000001,-100.5000001
Yucatán,20.6845957,-88.8755669
Morelos,18.75,-99.0
Veracruz,19.333333,-96.666667
Quintana Roo,19.6666671,-88.5000001
Chihuahua,28.5000001,-106.0000001
Coahuila,27.3333331,-102.0000001
Baja California Norte,22.1614882,-100.9605604
Sonora,29.3333331,-110.6666671
Guanajuato,20.9876996,-101.0
Guerrero,17.666667,-100.0
Hidalgo,20.5,-99.0
Michoacán,19.207098,-101.878113
Tamaulipas,23.9891553,-98.7026825
Durango,24.833333,-104.833333
Sinaloa,25.0000001,-107.5000001
Aguascalientes,22.0000001,-102.5000001
Baja California Sur,25.5818014,-111.5706164
Nayarit,22.0000001,-105.0000001
Chiapas,16.5000001,-92.5000001
Colima,19.166667,-104.0
Tabasco,17.95078635,-92.483122132414
Tlaxcala,19.416667,-98.166667
Oaxaca,17.0,-96.5
Campeche,19.32920555,-89.9439148263377
Zacatecas,23.0000001,-103.0000001
